Age,Income,Recency,TotalSpending,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,TotalChildren
57,58138.0,58,1617,8,10,4,7,0
60,46344.0,38,27,1,1,2,5,2
49,71613.0,26,776,8,2,10,4,0
30,26646.0,26,53,2,0,4,6,1
33,58293.0,94,422,5,3,6,5,1
47,62513.0,16,716,6,4,10,6,1
43,55635.0,34,590,7,3,7,6,1
29,33454.0,32,169,4,0,4,8,1
40,30351.0,19,46,3,0,2,9,1
64,5648.0,68,49,1,0,0,20,2
31,51371.0,11,19,1,0,2,7,1
38,7500.0,59,61,2,0,3,8,0
55,63033.0,82,1102,3,4,8,2,0
62,59354.0,53,310,6,1,5,6,2
27,17323.0,38,46,1,0,3,8,0
68,82800.0,23,1315,7,6,12,3,0
34,41850.0,51,96,3,0,3,8,2
68,37760.0,20,317,4,1,6,7,0
65,76995.0,91,1782,11,4,9,5,1
29,33812.0,86,133,2,1,3,6,1
32,37040.0,41,316,4,2,5,8,0
35,2447.0,42,1730,0,28,0,1,1
65,58607.0,63,972,2,3,9,8,1
60,65324.0,0,544,6,2,9,4,1
63,40689.0,69,444,7,1,5,8,1
45,18589.0,89,75,2,1,3,7,0
38,53359.0,4,257,5,1,4,7,2
28,51371.0,19,637,27,0,0,1,1
25,38360.0,26,131,2,1,4,3,1
49,84618.0,96,1672,6,9,10,2,0
25,10979.0,34,30,3,0,3,5,0
51,38620.0,56,318,2,5,3,3,0
44,40548.0,31,120,2,1,4,5,1
62,46610.0,8,302,4,1,6,6,2
68,68657.0,4,1196,3,5,9,7,0
63,49389.0,55,65,2,0,3,7,2
44,67353.0,37,913,5,6,12,2,1
38,23718.0,76,81,3,1,2,7,1
41,42429.0,99,67,1,1,3,5,1
71,48948.0,53,902,7,10,5,6,0
34,80011.0,3,1395,8,6,5,4,1
29,20559.0,88,53,2,0,3,8,1
57,21994.0,4,22,0,0,3,5,1
55,51371.0,80,186,1,3,4,2,0
39,7500.0,19,31,2,0,3,5,1
38,79941.0,72,984,2,4,9,1,0
18,7500.0,24,122,3,1,3,9,0
46,41728.0,92,55,2,0,2,10,1
63,51371.0,96,124,2,1,4,6,3
60,72550.0,39,1319,5,2,12,8,2
57,65486.0,29,507,4,2,10,2,1
50,79143.0,2,1693,6,9,13,3,0
37,35790.0,54,72,2,0,3,7,1
37,82582.0,54,1617,4,9,7,1,0
36,66373.0,57,606,4,2,10,3,2
59,82384.0,55,1957,3,10,13,1,0
48,70287.0,30,1093,5,5,10,3,0
26,27938.0,31,29,1,0,4,3,1
32,51371.0,57,46,2,0,3,6,1
46,55954.0,63,518,8,2,6,7,1
32,75777.0,12,1438,3,6,11,1,0
39,66653.0,18,612,4,2,12,3,2
62,61823.0,26,884,8,2,10,7,1
63,67680.0,8,606,7,3,8,5,1
66,70666.0,29,1076,7,4,4,4,0
43,25721.0,75,34,1,1,2,7,1
47,32474.0,0,11,1,0,2,7,2
35,88194.0,19,1274,11,10,10,5,1
56,69096.0,4,653,5,2,10,4,1
44,74854.0,90,1562,2,5,5,5,3
60,66991.0,1,1253,4,8,6,3,0
41,51371.0,25,109,3,0,3,8,1
55,65031.0,29,863,10,3,13,7,1
39,60631.0,88,661,9,2,8,7,2
62,28332.0,58,65,2,1,4,2,0
37,40246.0,68,13,1,0,2,6,1
42,75251.0,34,1890,7,6,5,5,0
38,75825.0,40,2209,5,8,9,4,0
38,26326.0,12,18,0,0,3,3,0
49,56046.0,9,692,10,1,8,8,0
29,29760.0,87,165,3,1,4,8,1
45,26304.0,5,16,1,0,2,7,1
41,23559.0,87,79,3,0,3,7,1
51,38620.0,56,318,2,5,3,3,0
27,81361.0,18,778,3,10,13,1,0
54,29440.0,95,56,1,0,4,7,2
44,36138.0,48,151,3,1,4,7,2
57,50388.0,3,372,6,1,6,7,1
41,79593.0,70,1366,5,6,7,2,0
47,54178.0,79,194,2,2,5,2,1
57,51371.0,4,603,7,2,8,9,3
57,51371.0,45,18,1,0,2,7,2
41,51371.0,87,985,2,4,8,1,0
42,42394.0,69,32,1,0,3,7,1
44,23626.0,84,43,3,1,3,5,1
31,30096.0,30,45,2,0,3,6,1
54,47916.0,72,606,7,4,6,6,1
42,51813.0,37,63,2,0,3,7,2
63,78497.0,44,978,5,7,12,2,0
31,50150.0,32,410,5,2,7,5,0
54,47823.0,0,72,2,0,3,8,1
55,34554.0,43,55,2,0,3,6,1
35,85693.0,59,1169,9,5,11,5,1
69,65846.0,68,1120,6,3,6,4,0
55,87195.0,35,1097,3,11,5,1,0
35,24594.0,94,29,1,0,3,5,1
50,49096.0,15,187,4,1,4,7,2
45,52413.0,56,910,6,4,12,6,2
36,38557.0,17,145,3,1,3,7,1
54,89058.0,18,850,5,4,4,2,0
35,77298.0,46,969,6,6,11,3,1
23,68126.0,40,1820,7,4,5,9,0
51,57288.0,27,608,8,1,8,6,1
23,86037.0,95,730,6,7,11,3,0
34,43974.0,19,551,6,4,6,7,1
52,50785.0,27,114,2,1,3,6,2
44,90765.0,25,1724,4,6,5,1,0
36,36550.0,74,577,9,1,5,9,1
47,30753.0,85,81,1,1,3,5,2
45,21918.0,37,33,2,0,3,6,1
61,56129.0,65,660,6,2,10,4,1
47,32557.0,13,80,2,1,3,5,1
29,19510.0,63,30,1,0,3,7,2
38,30992.0,83,43,1,0,3,7,1
31,101970.0,69,1135,6,8,13,2,0
49,71488.0,87,559,3,4,7,1,0
30,79607.0,37,1923,3,6,6,1,0
61,54348.0,51,90,2,0,4,6,2
53,51371.0,23,404,6,1,7,6,1
58,77376.0,72,661,6,3,10,4,2
62,62998.0,10,463,5,4,5,5,1
56,61331.0,42,632,11,1,6,8,2
45,73448.0,10,725,7,2,9,4,0
51,51371.0,96,725,6,5,7,4,1
50,41551.0,51,279,5,1,5,8,2
47,62981.0,21,1482,4,5,13,3,0
38,9548.0,31,29,1,0,3,8,1
55,33762.0,61,106,2,2,2,8,3
41,35860.0,37,49,1,1,2,5,2
49,36921.0,74,38,2,0,3,7,2
22,92859.0,46,2077,5,4,12,2,0
38,65104.0,4,1053,3,5,7,7,1
52,86111.0,73,1385,5,7,10,2,0
40,68352.0,47,871,8,5,9,6,1
26,41883.0,13,312,4,2,3,7,1
38,59809.0,36,877,3,3,6,8,2
39,23957.0,47,68,2,0,3,6,1
33,38547.0,49,22,1,0,2,8,1
41,35688.0,94,211,4,1,4,8,3
48,49605.0,65,127,2,1,4,3,0
61,59354.0,59,459,4,4,7,3,2
45,65747.0,96,460,8,1,6,6,1
42,46344.0,28,429,7,1,5,7,1
26,34176.0,12,89,3,0,4,6,1
62,61010.0,57,1021,8,5,11,5,1
65,69372.0,10,1381,10,4,6,4,0
56,49967.0,4,306,6,1,5,7,1
36,60199.0,49,18,0,0,3,4,3
37,55375.0,3,162,1,1,6,2,1
59,80317.0,64,1231,3,4,10,1,0
56,30523.0,0,13,1,0,2,7,3
69,70356.0,20,1706,10,6,9,6,0
30,23228.0,91,121,3,0,4,8,1
39,74165.0,9,1293,5,4,10,2,0
41,157243.0,98,1608,0,22,0,0,1
48,43482.0,83,88,2,0,4,6,3
61,62551.0,27,421,6,7,4,3,0
55,52332.0,63,259,3,2,6,4,0
26,66951.0,46,1117,3,4,7,1,0
57,26091.0,84,89,2,1,3,5,2
49,33456.0,58,36,1,0,3,7,2
32,28718.0,78,57,2,0,3,8,1
44,50447.0,4,148,3,1,3,6,2
55,53537.0,17,93,2,1,3,5,2
47,52074.0,77,119,2,2,2,4,1
39,80427.0,56,1835,11,8,8,5,1
66,83837.0,79,1318,9,10,5,4,0
44,38853.0,90,45,2,0,3,7,2
55,38285.0,96,10,0,0,3,2,3
63,78497.0,44,978,5,7,12,2,0
